59|Girls|ಹುಡುಗಿಯರ ಸಂಖ್ಯೆ 
60|Information is not available.|ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ .
61|Source: Information pertaining to MP/MLA Constituencies has been obtained from concerned Block Education Offices.|ಮೂಲ: ವಿಧಾನಸಭಾ ಹಾಗೂ ಲೋಕಸಭಾ ಕ್ಷೇತ್ರಗಳ ವ್ಯಾಪ್ತಿಗೆ ಬರುವ ಶಾಲಾ ಮತ್ತು ಅಂಗನವಾಡಿಗಳ, ಮಾಹಿತಿಯನ್ನು ಆಯಾ ವಲಯ ಶಿಕ್ಷಣಾಧಿಕಾರಿಗಳ ಕಛೇರಿಯಿಂದ ಪಡೆಯಲಾಗಿದೆ.
62|Comparison of Annual School Grant|ವಾರ್ಷಿಕ  ಶಾಲಾ ಅನುದಾನದ ಹೋಲಿಕೆ
63|School Grant (SG) breakdown by Category|ಪ್ರವರ್ಗಾನುವರ ಶಾಲಾ  ಅನುದಾನದ  ವಿವರ
64|School Maintenance Grant (SMG) breakdown|ಶಾಲಾ  ನಿರ್ವಹಣೆ  ಅನುದಾನದ  ವಿವರ
65|Annual School Grant breakdown|ವಾರ್ಷಿಕ  ಶಾಲಾ ಅನುದಾನದ ವಿವರ
66|Allocation Summary|ಅನುದಾನ  ಹಂಚಿಕೆಯ ಸಾರಾಂಶ
67|Allocation Breakdown|ಅನುದಾನ  ಹಂಚಿಕೆಯ ವಿವರ
68|Allocation in Neighbours Constituencies|ನೆರೆಹೊರೆಯ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರಗಳ  ಅನುದಾನ  ಹಂಚಿಕೆಯ ವಿವರ
69|Grant Amount|ಅನುದಾನದ  ಮೊತ್ತ 
70|Number of Classrooms|ಪಾಠದ ಕೊಠಡಿಗಳ ಸಂಖ್ಯೆ 
71|Grant Type|ಅನುದಾನದ  ವರ್ಗ
72|Number of Schools in this analysis|ವರದಿಗೆ ಒಳಪಟ್ಟ ಶಾಲೆಗಳ ಸಂಖ್ಯೆA
73|Community Involvement|ಸಮುದಾಯ   ಭಾಗವಹಿಸುವಿಕೆ
74|Anganwadi Learning Records|ಅಂಗನವಾಡಿಗಳಲ್ಲಿ ಕಲಿಕೆಯ  ದಾಖಲೆಗಳು
75|Toilets|ಶೌಚಾಲಯಗಳು
76|Nutrition|ಪೋಷಣೆ
77|Physical condition|ಕಟ್ಟಡದ ಪರಿಸ್ಥಿತಿ
78|Infrastructure Summary - Anganwadis|ಅಂಗನವಾಡಿಗಳ  ಮೂಲ ಸೌಲಭ್ಯಗಳ ಸಾರಾಂಶ
79|Infrastructure Summary - Government Primary Schools|ಸರ್ಕಾರಿ  ಪ್ರಾಥಮಿಕ  ಶಾಲೆಗಳ  ಮೂಲ ಸೌಲಭ್ಯಗಳ ಸಾರಾಂಶ
81|Note|ಗಮನಿಸಿ 
82|Comparison of Anganwadis|ಅಂಗನವಾಡಿಗಳ  ಹೋಲಿಕೆ
83|Comparison of Government Primary Schools|ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗಳ ಹೋಲಿಕೆ
84|Library programme in Government Schools|ಸರ್ಕಾರಿ ಶಾಲೆಗಳ ಗ್ರಂಥಾಲಯ ಕಾರ್ಯಕ್ರಮ 
85|Status of Government School Libraries|ಸರ್ಕಾರಿ ಶಾಲೆಗಳಲ್ಲಿ ಗ್ರಂಥಾಲಯಗಳು
86|Infrastructure in Akshara Libraries|ಅಕ್ಷರ ಗ್ರಂಥಾಲಯಗಳಲ್ಲಿನ ಸೌಲಭ್ಯಗಳು 
87|Book reading patterns by Language|ಭಾಷೆಗೆ ಅನುಸಾರವಾಗಿ ಮಕ್ಕಳು ಓದಿರುವ ಪುಸ್ತಕಗಳ ವಿವರ 
88|Comparison of Library programme|ಗ್ರಂಥಾಲಯಗಳ ಹೋಲಿಕೆ
89|Book reading patterns by Reading level|ಓದುವ ಹಂತಗಳಿಗೆ ಅನುಸಾರವಾಗಿ ಮಕ್ಕಳು ಓದಿರುವ ಪುಸ್ತಕಗಳ ವಿವರ 
90|Profile of schools by Medium of Instruction|ಕಲಿಕೆಯ ಮಧ್ಯಮಾನುಸರ ಶಾಲೆಗಳ ಹಂಚುವೆಕೆ 
91|Number of Books read by Level over time|ಹಂತಗಳ ಅನುಸಾರ ಮತ್ತು ಕಾಲಾನುಸಾರ ಮಕ್ಕಳು ಓದಿರುವ ಪುಸ್ತಕಗಳ ವಿವರ
92|Number of Books read by Language over time|ಭಾಷಾನುಸಾರ ಮತ್ತು ಕಾಲಾನುಸಾರ ಮಕ್ಕಳು ಓದಿರುವ ಪುಸ್ತಕಗಳ ವಿವರ  
93|Ratio of Transactions:Students compared|ಮಕ್ಕಳು ಓದಿರುವ ಪುಸ್ತಕಗಳ  ಹೋಲಿಕೆ 
94|Number of Government Schools&nbsp;|ಸರ್ಕಾರಿ ಶಾಲೆಗಳ ಸಂಖ್ಯೆ &nbsp;
95|Number of Libraries|ಗ್ರಂಥಾಲಯಗಳ ಸಂಖ್ಯೆ 
96|Number of Students&nbsp;|ಮಕ್ಕಳ ಸಂಖ್ಯೆ 
97|Number of Books read by Level across classes|ಹಂತಗಳ ಅನುಸಾರ ಮತ್ತು ವರ್ಗಾನುಸಾರ  ಮಕ್ಕಳು ಓದಿರುವ ಪುಸ್ತಕಗಳ ವಿವರ  
98|Number of Books read by Language across classes|ಭಾಷಾನುಸಾರ ಮತ್ತು ವರ್ಗಾನುಸಾರ  ಮಕ್ಕಳು ಓದಿರುವ ಪುಸ್ತಕಗಳ ವಿವರ  
99|Number| ಸಂಖ್ಯೆ 
100|Library Infrastructure|ಗ್ರಂಥಾಲಯಗಳ  ಸೌಲಭ್ಯ
101|Transactions|ಮಕ್ಕಳು ಓದಿರುವ ಪುಸ್ತಕಗಳ ವಿವರ  
102|Books|ಪುಸ್ತಕಗಳ  ಸಂಖ್ಯೆ 
103|Students|ಮಕ್ಕಳ ಸಂಖ್ಯೆ 
104|Trainees|ತರಬೇತಿ  ಪಡೆದವರು 
105|Government School Teachers|ಸರ್ಕಾರಿ ಶಾಲಾ ಶಿಕ್ಷಕರು
106|Akshara Foundation Librarians|ಅಕ್ಷರ ಗ್ರಂಥಪಾಲಕರು 
107|Libraries|ಗ್ರಂಥಾಲಯಗಳ  ಸಂಖ್ಯೆ 
108|Total Number of Schools|ಒಟ್ಟು ಸರ್ಕಾರಿ ಶಾಲೆಗಳ ಸಂಖ್ಯೆ 
109|Schools with Mid Day Meal Data|Mid Day Meal ದತ್ತಾಂಶ ಶಾಲೆಗಳು
110|Akshaya Patra Mid Day Meal Summary|ಅಕ್ಷಯ ಪಾತ್ರ ಪ್ರತಿಷ್ಠಾನದ Mid Day Meal ಸಾರಾಂಶ
111|Indent vs. Attendance vs. Enrollment|ಇಂಡೆಂಟ್ vs. ಹಾಜರಾತಿ  vs. ದಾಖಲಾತಿ 
112|Number of students|ಮಕ್ಕಳ ಸಂಖ್ಯೆ
113|Kannada Reading Assessment in the Academic Year 2011-2012|2011-12ನೇ ಶೈಕ್ಷಣಿಕ ವರ್ಷದ ಕನ್ನಡ ಓದುವ ಮಟ್ಟದ ಮೌಲ್ಯಮಾಪನ
114|Anganwadi Assessment in the Academic Year 2011-2012|2011-12ನೇ ಶೈಕ್ಷಣಿಕ ವರ್ಷದ ಅಂಗನವಾಡಿ ಮೌಲ್ಯಮಾಪನ
115|Kannada Reading levels across Classes (as percentage of children)|ಎಲ್ಲಾ ತರಗತಿಗಳ ಕನ್ನಡ ಓದುವ ಹಂತಗಳು (ಮಕ್ಕಳ ಶೇಕಡಾವಾರು)
116|Kannada Reading levels across Gender (as percentage of children)|ಲಿಂಗವಾರು ಕನ್ನಡ ಓದುವ ಹಂತಗಳು (ಮಕ್ಕಳ ಶೇಕಡಾವಾರು)
117|Percentage (Median) Scores for the Constituency (as percentage of children)|ಕ್ಷೇತ್ರದಿಂದ ಶೇಕಡಾವಾರು (ಸರಾಸರಿ - Median) ಅಂಕಗಳು (ಮಕ್ಕಳ ಶೇಕಡಾವಾರು)
118|Kannada Reading levels in this Constituency vs. Bangalore vs. Karnataka Rural|ಈ ಲೋಕ/ವಿಧಾನಸಭೆ ಮತ್ತು ಬೆಂಗಳೂರಿನ ಮತ್ತು ಗ್ರಾಮೀಣ ಕರ್ನಾಟಕದ ಕನ್ನಡ ಓದುವ  ಹಂತಗಳ ಹೋಲಿಕೆ
119|Insufficient information for this constituency to display Kannada reading levels.|ಕನ್ನಡ ಓದುವ ಮಟ್ಟಗಳ ವಿವರಣೆಗಾಗಿ ಈ ಲೋಕ/ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ .
120|Insufficient information for this constituency to display details of the Anganwadi assessment.|ಅಂಗನವಾಡಿ ಮೌಲ್ಯಮಾಪನ ವಿವರಣೆಗಾಗಿ ಈ ಲೋಕ/ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ.
121|Summary of Kannada Reading Levels for Bangalore and Karnataka Rural|ಬೆಂಗಳೂರಿನ ಮತ್ತು ಗ್ರಾಮೀಣ ಕರ್ನಾಟಕದ ಕನ್ನಡ ಓದುವ  ಹಂತಗಳ ವಿವರ 
